#BLTrackFile initial
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
-143.358 285.293 0 39.0919 11.3043 9999.92 0 2212 286 1 0 1
-534.491 -68.858 0 -44.9323 447.329 9989.89 0 2212 287 1 0 1
-373.558 -397.861 0 44.4989 -717.204 9974.15 0 2212 288 1 0 1
69.2637 126.334 0 -444.36 -59.5537 9989.94 0 2212 289 1 0 1
1535.73 54.6045 0 -52.8311 563.781 9983.96 0 2212 290 1 0 1
-584.863 -50.3691 0 -159.024 -746.655 9970.82 0 2212 291 1 0 1
207.625 100.564 0 82.7285 304.424 9995.02 0 2212 292 1 0 1
-375.897 -108.98 0 -79.9338 849.677 9963.52 0 2212 293 1 0 1
934.932 -115.876 0 233.722 -97.215 9996.8 0 2212 294 1 0 1
1161.24 -171.998 0 -68.542 -654.654 9978.31 0 2212 295 1 0 1
727.826 -263.077 0 -456.977 128.921 9988.72 0 2212 296 1 0 1
-690.53 41.974 0 11.4901 499.516 9987.51 0 2212 297 1 0 1
324.066 -180.428 0 36.3411 -363.723 9993.32 0 2212 298 1 0 1
-422.373 276.449 0 152.389 -589.824 9981.43 0 2212 299 1 0 1
-1168.91 511.792 0 -169.763 374.293 9991.55 0 2212 300 1 0 1
-0.707636 -395.019 0 128.718 379.512 9991.97 0 2212 301 1 0 1
630.771 -126.007 0 -120.29 -699.026 9974.81 0 2212 302 1 0 1
211.098 260.203 0 17.6726 453.034 9989.72 0 2212 303 1 0 1
-820.991 261.756 0 24.2361 509.107 9987 0 2212 304 1 0 1
-219.3 -12.2825 0 179.355 -436.706 9988.85 0 2212 305 1 0 1
-466.05 160.502 0 193.274 77.4077 9997.83 0 2212 306 1 0 1
-26.4985 -124.853 0 189.15 -889.796 9958.54 0 2212 307 1 0 1
703.291 -206.067 0 87.5025 74.9802 9999.34 0 2212 308 1 0 1
-848.328 54.244 0 78.8849 -589.782 9982.28 0 2212 309 1 0 1
200.915 218.446 0 193.296 262.758 9994.68 0 2212 310 1 0 1
764.976 44.5723 0 -97.1745 167.295 9998.13 0 2212 311 1 0 1
479.73 259.439 0 260.813 -177.216 9995.03 0 2212 312 1 0 1
-889.856 -158.194 0 73.2456 -446.252 9989.77 0 2212 313 1 0 1
-133.912 68.4211 0 76.3856 18.5062 9999.69 0 2212 314 1 0 1
234.144 214.281 0 83.4358 8.68575 9999.65 0 2212 315 1 0 1
90.8419 483.787 0 -279.401 -225.417 9993.55 0 2212 316 1 0 1
-39.7646 278.742 0 -139.099 538.319 9984.53 0 2212 317 1 0 1
-122.369 -43.3333 0 59.1863 506.238 9987 0 2212 318 1 0 1
-116.093 16.3706 0 298.698 6.68827 9995.54 0 2212 319 1 0 1
-211.973 76.5371 0 -28.9222 -48.2781 9999.84 0 2212 320 1 0 1
127.03 78.27 0 199.371 -436.684 9988.47 0 2212 321 1 0 1
-798.836 261.449 0 -37.2229 180.756 9998.3 0 2212 322 1 0 1
1135.07 -131.47 0 121.296 459.885 9988.68 0 2212 323 1 0 1
558.799 -191.697 0 -83.5851 -601.492 9981.54 0 2212 324 1 0 1
64.4364 -76.6938 0 53.307 42.6754 9999.77 0 2212 325 1 0 1
-283.668 -146.578 0 265.445 -116.694 9995.8 0 2212 326 1 0 1
165.745 207.9 0 -300.136 235.771 9992.71 0 2212 327 1 0 1
417.628 -185.619 0 -38.899 -509.637 9986.93 0 2212 328 1 0 1
-108.873 275.201 0 -310.407 6.95919 9995.18 0 2212 329 1 0 1
883.914 -192.382 0 192.288 97.6768 9997.67 0 2212 330 1 0 1
195.758 123.361 0 192.586 -50.6667 9998.02 0 2212 331 1 0 1
306.788 262.305 0 147.903 -119.585 9998.19 0 2212 332 1 0 1
-53.2068 -134.823 0 -317.058 -544.8 9980.11 0 2212 333 1 0 1
-496.08 -266.257 0 175.732 -491.813 9986.35 0 2212 334 1 0 1
-33.4309 -99.3132 0 288.573 140.893 9994.84 0 2212 335 1 0 1
-64.9412 -42.6381 0 -163.173 -22.0026 9998.64 0 2212 336 1 0 1
846.162 -168.314 0 52.6067 495.972 9987.55 0 2212 337 1 0 1
-10.7011 9.55346 0 -173.81 314.95 9993.53 0 2212 338 1 0 1
163.01 266.613 0 -180.561 -252.727 9995.18 0 2212 339 1 0 1
601.188 336.177 0 19.7132 -253.852 9996.76 0 2212 340 1 0 1
1517.34 -247.771 0 198.786 89.067 9997.63 0 2212 341 1 0 1
51.8945 565.84 0 123.996 696.569 9974.94 0 2212 342 1 0 1
1027.69 201.749 0 235.02 -160.026 9995.96 0 2212 343 1 0 1
315.071 -242.538 0 48.9923 -61.7571 9999.69 0 2212 344 1 0 1
-205.333 210.207 0 76.2319 -219.019 9997.31 0 2212 345 1 0 1
27.0668 80.1056 0 -216.984 -82.5219 9997.31 0 2212 346 1 0 1
58.3582 313.764 0 26.7437 312.971 9995.07 0 2212 347 1 0 1
847.237 179.167 0 -173.24 -353.906 9992.23 0 2212 348 1 0 1
